dataset_id,attribute_profile,points,attribute_fields,plaintext_bytes,plaintext_kib,encrypted_bytes,sha256,attachments_included
field-50-typical,typical,50,18,40718,39.764,15484,234833df11cd77d5bd763162570d5e70632feca9b1c2f5a6037201316b28403e,false
field-50-rich,rich,50,18,167115,163.198,114009,20801765a2fc7c00b6aaf8b1c720ec265814781cb48adf0c262429af8335d2a0,false
field-250-typical,typical,250,18,203754,198.979,69363,5463d67fc6ec8783c0cce47a4293ba1090fb37f5b85fcd911722f550126b6207,false
field-250-rich,rich,250,18,835751,816.163,563318,fd0150b123fdc128fb9c06ca8818bca74ce3f85c06f8a27e3b9c148de50f86ea,false
field-500-typical,typical,500,18,407672,398.117,136733,d768fd95739811ffe99fc285b7b62bfd6cd717cb8c8fe2327c7d7611e9d105ec,false
field-500-rich,rich,500,18,1671669,1632.489,1124967,d133819005f97f022cd8eadb526ece1cb055c0ca5e47e06cc650f76e37661651,false
field-1000-typical,typical,1000,18,815500,796.387,271542,242a532a108e3d6fc8ea077a6b0549a3e8636e94736e0861013e442ce4a61f0e,false
field-1000-rich,rich,1000,18,3343497,3265.134,2248171,9fb79c4abadde8d8bc046ca801cd24050a4772df1207051b90e57776b98e5981,false
field-2000-typical,typical,2000,18,1633146,1594.869,541087,28d70cda6d52af2f0cbfa2cea68d99b90ba48c602978ad8ea3f7b7fb9e8d1721,false
field-2000-rich,rich,2000,18,6689143,6532.366,4494540,afd91224fcb31462de0fade521d001f248cb715e8d801b87facdaedd73fe1579,false
