dataset_id,attribute_profile,dataset_points,iteration,source_read_seconds,mask_core_seconds,spruill_only_seconds,feature_construction_seconds,output_write_seconds,mask_core_plus_spruill_seconds,workflow_total_seconds,outer_elapsed_seconds,unaccounted_seconds
field-50-rich,rich,50,1,0.175863423,0.001808500,0.002305808,0.001351193,0.132995039,0.004114308,0.314742808,0.314813308,0.000418845
field-50-rich,rich,50,2,0.175964000,0.001945731,0.002209462,0.001456307,0.151080500,0.004155193,0.333096846,0.333166961,0.000440846
field-50-rich,rich,50,3,0.200992038,0.001807384,0.002242115,0.001336307,0.131607115,0.004049499,0.338420154,0.338485384,0.000435195
field-50-rich,rich,50,4,0.174529923,0.001802962,0.002246384,0.001355731,0.132692038,0.004049346,0.313030692,0.313096115,0.000403654
field-50-rich,rich,50,5,0.176547500,0.001988115,0.002123653,0.001309885,0.135318577,0.004111768,0.317707807,0.317774231,0.000420077
field-50-typical,typical,50,1,0.204949000,0.001933846,0.003874923,0.001429000,0.133202499,0.005808769,0.345814884,0.345882692,0.000425616
field-50-typical,typical,50,2,0.180361346,0.001910538,0.003379692,0.001587039,0.130924807,0.005290230,0.318592384,0.318664807,0.000428962
field-50-typical,typical,50,3,0.179486384,0.001901462,0.003446923,0.001487923,0.149901808,0.005348385,0.336654461,0.336724192,0.000429961
field-50-typical,typical,50,4,0.179817615,0.001851885,0.003505346,0.001504654,0.133356308,0.005357231,0.320420153,0.320489500,0.000384345
field-50-typical,typical,50,5,0.181469538,0.001845769,0.003482885,0.001502115,0.132959654,0.005328654,0.321646000,0.321744230,0.000386039
field-250-rich,rich,250,1,0.903600384,0.008969230,0.012459885,0.006557192,0.523526346,0.021429115,1.455509653,1.455574807,0.000396616
field-250-rich,rich,250,2,0.889399268,0.009016270,0.012379730,0.006540308,0.510309038,0.021396000,1.428042153,1.428108153,0.000397539
field-250-rich,rich,250,3,0.934525153,0.008868885,0.012360115,0.006521924,0.514491307,0.021229000,1.477167768,1.477237384,0.000400384
field-250-rich,rich,250,4,0.889554769,0.009040885,0.013071654,0.006531654,0.512176154,0.022112539,1.430754691,1.430820269,0.000379575
field-250-rich,rich,250,5,0.893740846,0.008851385,0.012513116,0.006630731,0.508132308,0.021364501,1.430316884,1.430382307,0.000448498
field-250-typical,typical,250,1,1.034792499,0.014496000,0.128341884,0.009380423,0.806530577,0.142837884,1.993956114,1.994019114,0.000414731
field-250-typical,typical,250,2,0.992751076,0.012519270,0.108789461,0.006912038,0.757084615,0.121308731,1.878473998,1.878539460,0.000417538
field-250-typical,typical,250,3,0.943055846,0.012535000,0.065799270,0.007143808,0.725023423,0.078334270,1.753966768,1.754035730,0.000409421
field-250-typical,typical,250,4,0.949963884,0.012612538,0.065401115,0.006786846,0.681179192,0.078013653,1.716347806,1.716415922,0.000404231
field-250-typical,typical,250,5,0.924304999,0.012637077,0.045971423,0.006913115,0.646335615,0.058608500,1.636554268,1.636618768,0.000392039
field-500-rich,rich,500,1,1.779772960,0.016394346,0.025876423,0.011319654,0.996442191,0.042270769,2.830202536,2.830268959,0.000396962
field-500-rich,rich,500,2,1.727998499,0.016351269,0.025805038,0.011299039,0.989662114,0.042156307,2.771522074,2.771587498,0.000406115
field-500-rich,rich,500,3,1.754053806,0.016298154,0.025612692,0.011460462,0.963548537,0.041910846,2.771384037,2.771451151,0.000410386
field-500-rich,rich,500,4,1.772820691,0.016338769,0.025578307,0.011235769,0.967231115,0.041917076,2.793656652,2.793724344,0.000452001
field-500-rich,rich,500,5,1.772545460,0.016374077,0.025612077,0.011117499,0.965734538,0.041986154,2.791790113,2.791860345,0.000406462
field-500-typical,typical,500,1,1.730256037,0.017623270,0.029196615,0.013050538,0.962118268,0.046819885,2.752724575,2.752794922,0.000479847
field-500-typical,typical,500,2,1.921689421,0.017606346,0.028883193,0.014156577,1.277753960,0.046489539,3.260502382,3.260583382,0.000412885
field-500-typical,typical,500,3,2.018040153,0.018006653,0.031321231,0.013034116,1.090716653,0.049327884,3.171644190,3.171714229,0.000525384
field-500-typical,typical,500,4,1.830852575,0.017590231,0.029080539,0.012739115,0.980909653,0.046670770,2.871590152,2.871657767,0.000418039
field-500-typical,typical,500,5,1.737617268,0.017503923,0.029259962,0.012999654,0.944060884,0.046763885,2.741854421,2.741922152,0.000412730
field-1000-rich,rich,1000,1,3.807454151,0.041308500,0.089236616,0.026794962,2.041111229,0.130545116,6.006319380,6.006387303,0.000413922
field-1000-rich,rich,1000,2,3.784260689,0.035700154,0.087976654,0.026764500,2.017678114,0.123676808,5.952813649,5.952878957,0.000433538
field-1000-rich,rich,1000,3,3.791886497,0.035787807,0.085084808,0.026708615,2.020600922,0.120872615,5.960470919,5.960536803,0.000402270
field-1000-rich,rich,1000,4,3.799349113,0.035914308,0.084202846,0.026768153,2.014902268,0.120117154,5.961582573,5.961650804,0.000445885
field-1000-rich,rich,1000,5,3.747401074,0.035459462,0.084524077,0.026809692,2.033286537,0.119983539,5.927937957,5.928005535,0.000457115
field-1000-typical,typical,1000,1,3.602173421,0.035641962,0.085112000,0.026857769,1.918499229,0.120753962,5.668730458,5.668796227,0.000446077
field-1000-typical,typical,1000,2,3.741562113,0.037946423,0.099623500,0.029275000,2.146281537,0.137569923,6.055128073,6.055194996,0.000439500
field-1000-typical,typical,1000,3,17.984033577,0.854945539,0.094384154,0.031261308,11.984396615,0.949329693,30.949471115,30.949537846,0.000449922
field-1000-typical,typical,1000,4,14.471393847,0.037696462,0.501552692,0.034868077,12.987069384,0.539249154,28.033322000,28.033389000,0.000741538
field-1000-typical,typical,1000,5,24.966520884,0.861389384,0.085378807,0.029078423,12.180044923,0.946768191,38.122963116,38.123032154,0.000550695
field-2000-rich,rich,2000,1,7.363319264,0.070195731,0.184146654,0.053115538,3.956654997,0.254342385,11.627930992,11.627996607,0.000498808
field-2000-rich,rich,2000,2,7.372858225,0.069974577,0.176913269,0.053063385,3.935110113,0.246887846,11.608341646,11.608411376,0.000422077
field-2000-rich,rich,2000,3,7.344626918,0.069949692,0.128775539,0.053184308,3.876495843,0.198725231,11.473524453,11.473595530,0.000492153
field-2000-rich,rich,2000,4,7.319618572,0.070063076,0.127586423,0.053175269,3.946578343,0.197649499,11.517434992,11.517505069,0.000413309
field-2000-rich,rich,2000,5,7.339011110,0.070239615,0.129987692,0.053207692,3.860943651,0.200227307,11.453871761,11.453936531,0.000482001
field-2000-typical,typical,2000,1,6.779606726,0.066236615,0.114076000,0.048969269,3.782032535,0.180312615,10.791337800,10.791403993,0.000416655
field-2000-typical,typical,2000,2,6.875039264,0.064804653,0.113810231,0.048372885,3.722338343,0.178614884,10.824773146,10.824840608,0.000407770
field-2000-typical,typical,2000,3,6.804959187,0.064679231,0.114041269,0.048514231,3.915502651,0.178720500,10.948117454,10.948187069,0.000420885
field-2000-typical,typical,2000,4,6.855722187,0.065043115,0.115690538,0.048641692,3.652134421,0.180733653,10.737652569,10.737719377,0.000420616
field-2000-typical,typical,2000,5,6.804957187,0.066264193,0.118681462,0.046874269,3.767967920,0.184945655,10.805151262,10.805224915,0.000406231
