dataset_id,attribute_profile,dataset_points,plaintext_bytes,encrypted_bytes,operation,warmup_runs,measured_runs,median_seconds,q1_seconds,q3_seconds,mean_seconds,min_seconds,max_seconds,throughput_mib_per_second
field-50-rich,rich,50,167115,114009,mask_core,1,5,0.001808500,0.001807384,0.001945731,0.001870538,0.001802962,0.001988115,
field-50-rich,rich,50,167115,114009,mask_core_plus_spruill,1,5,0.004111768,0.004049499,0.004114308,0.004096023,0.004049346,0.004155193,
field-50-rich,rich,50,167115,114009,mask_workflow_total,1,5,0.317707807,0.314742808,0.333096846,0.323399661,0.313030692,0.338420154,
field-50-rich,rich,50,167115,114009,openpgp_encrypt_signed_one_recipient,1,5,2.415090229,2.411541537,2.416700383,2.415711083,2.406619499,2.428603768,0.065991
field-50-rich,rich,50,167115,114009,openpgp_decrypt_verify,1,5,2.384840536,2.375201383,2.387120229,2.382040267,2.375058806,2.387980383,0.066828
field-50-typical,typical,50,40718,15484,mask_core,1,5,0.001901462,0.001851885,0.001910538,0.001888700,0.001845769,0.001933846,
field-50-typical,typical,50,40718,15484,mask_core_plus_spruill,1,5,0.005348385,0.005328654,0.005357231,0.005426654,0.005290230,0.005808769,
field-50-typical,typical,50,40718,15484,mask_workflow_total,1,5,0.321646000,0.320420153,0.336654461,0.328625576,0.318592384,0.345814884,
field-50-typical,typical,50,40718,15484,openpgp_encrypt_signed_one_recipient,1,5,2.344149960,2.336899883,2.347602921,2.342050383,2.332146460,2.349452691,0.016565
field-50-typical,typical,50,40718,15484,openpgp_decrypt_verify,1,5,2.319344075,2.319184383,2.320615267,2.320878798,2.318487152,2.326763114,0.016743
field-250-rich,rich,250,835751,563318,mask_core,1,5,0.008969230,0.008868885,0.009016270,0.008949331,0.008851385,0.009040885,
field-250-rich,rich,250,835751,563318,mask_core_plus_spruill,1,5,0.021396000,0.021364501,0.021429115,0.021506231,0.021229000,0.022112539,
field-250-rich,rich,250,835751,563318,mask_workflow_total,1,5,1.430754691,1.430316884,1.455509653,1.444358230,1.428042153,1.477167768,
field-250-rich,rich,250,835751,563318,openpgp_encrypt_signed_one_recipient,1,5,2.804778613,2.798237575,2.805369498,2.803743813,2.789956267,2.820377113,0.284170
